Date,Open,High,Low,Close,Adj Close,Volume
2011-10-17,188.794998,196.740005,188.604996,194.824997,177.009171,58896280
2011-10-24,197.500000,198.899994,182.699997,190.979996,173.515747,126354810
2011-10-31,191.889999,198.089996,187.800003,196.615005,178.635483,121326530
2011-11-07,196.615005,201.750000,178.130005,179.835007,163.389908,172678350
2011-11-14,182.600006,182.699997,170.330002,172.664993,156.875595,157770300
2011-11-21,172.300003,172.445007,162.725006,169.059998,153.600250,159452170
2011-11-28,172.100006,189.899994,171.115005,188.684998,171.430618,192955350
2011-12-05,188.470001,195.985001,182.000000,186.554993,169.495422,132558720
2011-12-12,188.270004,189.664993,166.514999,167.910004,152.555405,211012580
2011-12-19,166.500000,169.179993,157.110001,164.744995,149.679840,166878960
2011-12-26,164.315002,167.500000,159.000000,161.904999,147.099533,106576430
2012-01-02,162.899994,171.854996,161.139999,167.274994,151.978470,100529900
2012-01-09,166.169998,179.990005,162.509995,177.610001,161.368408,124375370
2012-01-16,175.619995,194.399994,174.839996,193.285004,175.609955,109094560
2012-01-23,193.190002,208.595001,192.100006,204.059998,185.399658,122841430
2012-01-30,201.500000,211.759995,197.014999,210.315002,191.082657,157906470
2012-02-06,213.195007,220.899994,213.195007,217.190002,197.329010,119823380
2012-02-13,217.399994,247.154999,209.600006,241.705002,219.602188,212519470
2012-02-20,241.705002,247.500000,219.500000,220.559998,200.390808,172061940
2012-02-27,221.490005,228.699997,211.110001,224.669998,204.124969,163415440
2012-03-05,223.470001,226.300003,210.600006,222.639999,202.280594,122345450
2012-03-12,230.535004,237.440002,221.500000,222.789993,202.416901,145373810
2012-03-19,223.000000,225.559998,212.720001,216.675003,196.861069,133598400
2012-03-26,215.869995,217.190002,204.714996,209.634995,190.464844,133054210
2012-04-02,210.000000,218.320007,210.000000,216.255005,196.479477,57163300
2012-04-09,214.800003,228.360001,209.005005,221.229996,200.999527,119950890
2012-04-16,221.199997,234.970001,220.100006,226.044998,205.374222,133693930
